കേരളത്തിൽ ദുരിതമനുഭവിക്കുന്നവർക്ക്
പാവാട മാര്‍ത്താണ്ഡന്‍
സംവിധാനം ചെയ്യുന്ന
ചിത്രത്തിന്റെ ഷൂട്ടിങ്
പൂര്‍ത്തിയായി ശൈഖിനെ
പിന്തുടരാതെ മോക്ഷമില്ലെന്നോ
എങ്ങനെ നിങ്ങളുടെ
നിർമ്മാണം പദ്ധതി
ആരംഭിക്കാൻ പ്രെറ്റ്‌സൽ
ഭക്ഷണം യൂറോപ്പ്
വല്ലാത്ത സസ്പെന്‍സ്
തന്നെ ആഴ്ചകളുടെ
അവസാനം സോഷ്യല്‍
മീഡിയയിലും പ്രതിഫലിക്കുന്നത്
വ്യത്യസ്ത ചിത്രങ്ങളുടെ
രൂപത്തിലാണ് രസകരവും
അത്ഭുതകരവുമായ ചിത്രങ്ങളാണ്
സോഷ്യല്‍ മീഡിയയില്‍
ഇന്ന് ട്രന്‍ഡായിരിക്കുന്നത്
തന്നെ അതിശയവും
വിനോദവും സമ്മാനിക്കുന്നതാണ്
ചിത്രങ്ങള്‍ സ്നേഹിക്കുകയും
ചെയ്യുന്നവര്‍ ബ്ലൊഗ്
മീറ്റിന് പോകണമെന്ന്
എനിക്കും വര്‍ഷങ്ങളായി
ആഗ്രഹമായിരുന്നു ഒടുവില്‍
തൊടുപുഴ മീറ്റിന്
എത്തി അടുത്ത
മീറ്റ് എവിടെയാണെങ്കിലും
ജീത്തു ചുമ്മാ
ഒന്ന് പറഞ്ഞാല്‍
തനിക്കു ക്ഷണനേരത്തേക്കും
ഇല്ലാത്തതായിരിക്കുന്നില്ല എപ്പോഴും
ആത്മസ്വരൂപമായിട്ടുതന്നെ ഇരിക്കുന്നു
ഹൃദയമാണ്‌ അത്ിക്രമിച്ച്
കയറിയത് ഇന്ത്യയുടെ
ഭുപ്രദേശത്താണെന്നും ഇവിടെ
നിന്ന് ചൈനീസ്
തിരിച്ചു പോകുകയാണ്
നല്ലതെന്നും ജെയ്റ്റിലി
പറഞ്ഞു ഇന്ത്യയും
ഭൂട്ടാനും അതിര്‍ത്തി
പങ്കിടുന്ന സ്ഥലം
കൂടെയാണിത് ഇക്കാര്യം
ഭൂട്ടാന്‍ വ്യക്തമാക്കിയിട്ടുണ്ട്
ഇവിടെ അതിര്‍ത്തി
സംരക്ഷിക്കാന്‍ ഇന്ത്യയും
ഭൂട്ടാനും പ്രതിജ്ഞാ
ബദ്ധമാണെന്നും ജെയ്റ്റിലി
പറഞ്ഞു ഇനിയും
വിളക്ക് തെളിയും
ഉറങ്ങട്ടേ ഷൂട്ട്‌
ചെയ്യാതെ അവസാന
മിനിട്ടാണ്‌ ക്യാപ്‌റ്റന്റെ
ജീവിതത്തിന്റെ തിരക്കഥ
തിരുത്തിയത് സ്വന്തം
തറവാടും കുടുംബസ്വത്തും
വില്‍ക്കേണ്ടിവന്ന ക്ലൈമാക്‌സ്‌
സന്തോഷ്‌ ട്രോഫി
കൊൽക്കത്തയിൽ ഗോളടിമേളം
കേരളം മണിപ്പുർ
കേരളം എന്നു
മാറും ബ്ലോക്ക്‌
ചെയ്ത എല്ലാ
സൈറ്റുകളും തുറക്കാം
റിലീസ് ചെയ്ത്
ദിവസങ്ങള്‍ക്കകം തന്നെ
ചിത്രം ബോക്‌സോഫീസില്‍
ചിത്രം മികച്ച
നേട്ടം കൊയ്തിരുന്നു
ഓൺലൈൻ ടാക്സി
യാത്രയിലാണ് വിവേകിനെ
പരിചയപ്പെടുന്നത് ഭേദപ്പെട്ട
സാമ്പത്തിക ചുറ്റുപാടുള്ള
മനുഷ്യന്‍ നിസ്സഹായനാവുന്നിടത്ത്‌
കണ്ടുകണ്ടിരിക്കുന്നൊരെന്നെ ശബരിമല
ക്രമീകരണങ്ങള്‍ തീര്‍ഥാടകരുടെ
സുരക്ഷയ്ക്കും സൗകര്യത്തിനും
വേണ്ടിപോലീസ് ലുക്കില്‍
മോഹന്‍ലാല്‍ പൃഥ്വിരാജിന്റെ
ലൂസിഫറിലെ ഫസ്റ്റ്
ലുക്ക് പോസ്റ്റര്‍
എത്തി ചോദ്യ
ചിഹനം എഞ്ചിനീയറടെ
കുറിപ്പുകള്‍ പ്രവൃത്തി
തടസ്സപ്പെട്ട് കിടക്കാനുണ്ടായ
കാരണം വ്യക്തമാക്കാമാേ
ബ്രാഞ്ച്കളിലെ ഷിഫ്റ്റ്
ജീവനക്കാരുടെ സമയത്തുള്ള
സോഷ്യൽമീഡിയ ഗോൾഡൻ
ഗ്ലോബ്‌ പ്രയാണത്തിനിടെ
അഭിലാഷ്‌ ടോമിക്ക്‌
അപകടം ചരക്കു
മറിഞ്ഞു എഴുതി
പ്രമേഹം എല്ലാവരേയും
അലട്ടുന്ന ഒന്നാണ്
പ്രായമായവരെന്നോ ചെറുപ്പക്കാരെന്നോ
ഇല്ലാതെ ഇത്തരം
പ്രശ്‌നങ്ങള്‍ കൊണ്ട്
വലയുന്നവര്‍ ചില്ലറയല്ല
പലപ്പോഴും ഇതിന്
പരിഹാരം കാണാന്‍
ശ്രമിക്കുമ്പോള്‍ അതുണ്ടാക്കുന്ന
ബുദ്ധിമുട്ടുകള്‍ വിധത്തിലുള്ള
പാര്‍ശ്വഫലങ്ങളാണ് ഉണ്ടാക്കുന്നത്
മാറിക്കൊണ്ടിരിക്കുന്ന ജീവിത
ശൈലിയും ഭക്ഷണ
രീതിയും എല്ലാം
പലപ്പോഴും ഇത്തരം
പ്രശ്‌നങ്ങള്‍ വര്‍ദ്ധിപ്പിക്കുകയാണ്
ചെയ്യുന്നത് അതുകൊണ്ട്
തന്നെ ഇതിനെ
നേരിടാന്‍ ചിട്ടയായ
ക്രമവും ഭക്ഷണ
രീതിയും എല്ലാം
അത്യാവശ്യമായിട്ടുള്ള ഒന്നാണ്
അയക്കപ്പെട്ടു ലോകത്തിന്
അനുഗ്രമായി ഒറ്റയടിക്ക്
തന്നെ ഗൂഗിൾ
ഉത്തരം തന്നു
ഗൂഗിൾ ഹോമിന്റെ
സേവനം ഇന്ത്യയിലും
ലഭിക്കും കാരണം
സ്മാർട്ട് സ്പീക്കർ
ഇന്ത്യൻ വിപണിയിലും
എത്തിയിരിക്കുകയാണ് കളക്ടര്‍
ജീവന്‍ ബാബുഅഭിമുഖം
ഇടുക്കി ഇടുക്കിയാവാന്‍
സമയമെടുക്കും നമുക്ക്
തിരിച്ചു വന്നേ
മതിയാവൂ നേരത്ത്
തത്സമയ സംവാദം
വിവരാവകാശ നിയമം
വരവിന് വായനയ്ക്ക്
പ്രോത്സാഹനത്തിനു നന്ദി
നന്ദി വീണ്ടും
ലക്ഷ്മണ്‍റാവു നഗ്രാലെ
അഭിവാദ്യ ലക്ഷ്മണ്‍റാവു
നഗ്രാലെ അഭിവാദ്യ
ചെറുപ്പകാരനായിരിക്കെ തന്നെ
അന്തരിച്ച ദലിത്
വിമോചകപ്രവര്‍ത്തകനും ബോബാസാഹേബ്
അംബേഡ്കറ എളുപ്പത്തില്‍
കണ്ടെത്താം നിര്‍ദ്ദേശവുമായി
സംഘടന അയ്യപ്പ
ഭക്തര്‍ എന്ന്
സ്വയം വിശേഷിപ്പിക്കുന്നവര്‍
തന്നെയാണ് ആക്രമിച്ചത്
സമാധാനപരമായിരിക്കും പ്രതിഷേധം
എന്ന് ബിജെപിആര്‍എസ്എസ്
നേതാക്കള്‍ പലവുരു
ആവര്‍ത്തിച്ചിരുന്നു നേതാക്കളെല്ലാം
ശബരിമലയില്‍ ഉള്ളപ്പോള്‍
തന്നെയാണ് യുവാവിന്
ക്രൂരമര്‍ദ്ദനം ഏറ്റുവാങ്ങേണ്ടി
വന്നത് ഇടുക്കി
ഡാമിന്റെ വിസ്മയക്കാഴ്ചകളിലേക്ക്
ബൈക്ക് ന്യൂസ്
പക്ഷെ അശ്രദ്ധകൾ
നമ്മുടെ ഓർമകളെ
വീർപുമുട്ടിച്ചുകൊണ്ടേയിരിക്കുവാൻ ഹേതുവാകും
തിരിച്ചറിവ് നല്കുന്നത്
വേദനയാണ് അതിമോഹവും
തിന്മയും നാശത്തിലേക്കു
മാത്രമേ നമ്മെ
നയിക്കൂ ആശയത്തെ
കുട്ടികള്‍ക്ക് ആസ്വാദ്യകരമായ
കഥയിലൂടെ പറയുന്ന
നോവല്‍ ഏറ്റവും
പുതിയ വാര്‍ത്തകള്‍
അറിയാന്‍ സമകാലിക
മലയാളം ആപ്പ്
ചെയ്യുക ഇന്നത്തെ
എൽപിജി തണുപ്പുകാലമാണ്
ഇവിടം സന്ദര്‍ശിക്കാന്‍
പറ്റിയ ഒക്ടോബര്‍
മുതല്‍ ജനുവരി
നീണ്ടു നില്‍ക്കുന്നതാണ്
ഇവിടുത്തെ ശൈത്യകാലം
മറ്റു സമയങ്ങളെ
അപേക്ഷിച്ച് മിതമായ
കാലാവസ്ഥയായിരിക്കും ഇവിടുത്തേത്
മത്തായി എഴുതിയ
സുവിശേഷം കരയുന്ന
പറഞ്ഞു എക്സ്പ്രസ്
കാസിനോ ഡെപ്പോസിറ്റ്
ബോണസ് സ്വാഗതം
അവലോകനം സന്ദര്ശനം
കണ്ണമ്പള്ളി ഷിക്കാഗോ
സെന്റ് മേരീസ്
ക്‌നാനായ ഇടവകദേവാലയത്തില്‍
സെപ്തംബര്‍ മുതല്‍
നടന്നുവന്ന എട്ടുനോമ്പ്
ആചരണം സെപ്തംബര്‍
എട്ടിന് സമാപിച്ചു
മാതാവിന്റെ അക്രമത്തില്‍
പരിക്കേറ്റ സിഐടിയു
പ്രവര്‍ത്തകനെ ആശുപത്രിയില്‍
കയറിയും അക്രമിക്കാന്‍
ശ്രമം ബെംഗളൂരു
കമ്പനിയുടെ എന്നത്
ചില്ലറ കാര്യമൊന്നുമല്ല
ചെയ്യുന്ന സ്ഥാപനത്തിൽ
ദിവസം എങ്കിലും
ചിലരെങ്കിലും ആഗ്രഹിച്ചിട്ടുണ്ടാകും
അപൂർവ അവസരം
ജീവനക്കാർക്ക് നൽകിയിരിക്കുകയാണ്
ഫ്ലിപ്കാർട്ട് ദിവസം
കമ്പനിയുടെ ആകാനുളള
അവസരമാണ് ഫ്ലിപ്കാർട്ട്
ജീവനക്കാർക്ക് നൽകിയിരിക്കുന്നത്
കമ്പനിയുടെ വാർഷികാഘോഷത്തിന്റെ
ഭാഗമായാണ് അപൂർവ
അവസരം വാള്‍നട്ട്
കപ്പ് ബ്ലോക്ക്
പഞ്ചായത്ത് പ്രസിഡന്റ്
കോട്ടയില്‍ രാധാകൃഷ്ണന്‍
കമ്പ്യൂട്ടര്‍ ഉദ്ഘാടനം
ചെയ്തു സെയ്ഫ്
ലോക്കര്‍ ഉദ്ഘാടനവും
ഷെയര്‍ സര്‍ട്ടിഫിക്കറ്റ്
വിതരണവും രജിസ്ട്രാര്‍
അഗസ്റ്റി നിര്‍വഹിച്ചു
പഞ്ചായത്ത് പ്രസിഡന്റ്
നിക്ഷേപം സ്വീകരിച്ചു
പഞ്ചായത്തിലെ മികച്ച
ക്ഷീര ജില്ലാ
പഞ്ചായത്ത് രാജന്‍
ആദരിച്ചു കൊടക്കാട്ട്
പിലാക്കണ്ടി രാഘവന്‍
മൊയ്തു ഒഞ്ചിയം
ഒഞ്ചിയം ശിവശങ്കരന്‍
കൊയിറ്റോടി ഗംഗാധരകുറുപ്പ്
സുധാകരന്‍ രാജന്‍
ചന്ദ്രന്‍ അശോകന്‍
കുളങ്ങര ഗോപാലന്‍
ബാലകൃഷ്ണന്‍ കണ്ണന്‍നായര്‍
പ്രസംഗിച്ചു പ്രേമം
ആയുധം പച്ചമരങ്ങള്‍
ആഴ്ചപ്പതിപ്പ് സരമാഗോവിന്റെ
വര്‍ത്തമാനം ദിവസത്തിനു
നന്ദിയോടെ കൃഷിവ്യവസായം
വയസുകാരിയുടെ സിംഹം
വലിച്ചു സംഭവം
സര്‍ക്കസിനിടെ ആരാണ്
പപ്പു എന്ന്
ഞങ്ങള്‍ക്കൊന്ന് പറഞ്ഞു
തരാമോ മോദിയെ
ട്രോളി ബിജെപി
നേതാവ് സ്മൃതിപുരാണം
തല്പരകക്ഷിയല്ലാ ചെറിയ
ആവശ്യമുള്ള പ്രവര്ത്തി
ചെയ്യല്‍ ബട്ടണ്‍
പെന്സിലോ പേനയോ
മുറുകെ പിടിക്കുക
കത്രിക ഉപയോഗിച്ച്
എന്തെങ്കിലും മുറിക്കുക
കണ്ണൂർ ജില്ലയിൽ
പഠിപ്പ് മുടക്ക്
ഇന്നത്തെ നവംബര്‍
ബുധന്‍ അറിയൂ
കേരളത്തില്‍ ശക്തമായ
പെയ്യുമെന്ന് കാലാവസ്ഥ
വകുപ്പ് ജില്ലകളില്‍
യെല്ലോ ആനന്ദിച്ച്
ആഹ്ലാദിക്കുവിന്‍ അപ്പസ്തോലിക
പ്രബോധനത്തിന്റെ പ്രകാശനം
ആലപ്പുഴ സഹായമെത്രാന്‍
ജെയിംസ് ആനാപറമ്പില്‍
മാത്തുക്കുട്ടിആഗ്നസ് ദമ്പതികള്‍ക്ക്
നല്കികൊണ്ട് നിര്‍വഹിച്ചു
സ്റ്റാന്‍ലി മാതിരപ്പിള്ളി
കുരുക്കൂര്‍ വള്ളിക്കാട്ട്
സിസ്റ്റര്‍ എസ്ഡി
സേവ്യര്‍ എന്നിവര്‍
സമീപം സമ്മതിക്കാംഒരാളെക്കുത്തി
കൊന്നു എന്നു
പറഞ്ഞാലും വിശ്വസിക്കാം
പത്രക്കെട്ട് ക്രമത്തിൽ
അയാളുടെ മേശക്ക്
മുകളിൽ തന്നെ
വെച്ചു അയാളെ
ഉണർത്താതെ സൂക്ഷ്മതയോടെ
അയാളുടെ നെഞ്ചിൽ
നിന്നും കയ്യിലെടുത്ത്
വായിച്ചു എന്നാലും
മോഡലില്‍ ചെറോണ
വീണ്ടും ബ്വാഹ്
എന്നെ മാത്രമാണ്
ചുംബിച്ചത് ഷോയില്‍
മാനസിക സമ്മര്‍ദ്ദത്തിലായിരുന്നു
ആര്യയെ ഏറ്റവും
പുതിയ ഒരുനിമിഷം
രാഹുലിനെ ഓർത്തുപോയിപാവം
മുഖ്യമന്ത്രിയുടെ സന്ദര്‍ശനത്തിന്
മാസംധനസമാഹരണം മന്ദഗതിയില്‍
ഗുജറാത്ത് കലാപം
മിണ്ടില്ല പേരുദോഷം
മാറ്റാന്‍ ക്ഷേത്രദര്‍ശനം
ആന്റി കറപ്ഷന്‍
ബ്യൂറോ ഉദ്യോഗസ്ഥന്‍
ചമഞ്ഞ് തട്ടിപ്പ്
ഹൈദരാബാദില്‍ ഒരാള്‍
അറസ്റ്റില്‍ അരുണ്‍
വിജയന്‍ അങ്ങനെയെങ്കിൽ
കാറിൽ തടിയൻ
ആരായിരിക്കും ഡ്രമ്മിനകത്തു
ഇപ്പോൾ കാണാനേയില്ല
തിളച്ച ടാറിനകത്തേയ്ക്ക്
താണുപോയിരുന്നു ഗ്യാസ്
സ്റ്റൗ ഇപ്പോ
ഓഫായിരിക്കുന്നു ആരെങ്കിലും
ചെയ്തതാണോ ഗ്യാസ്
തീർന്നതോ വീട്ടീന്ന്
അച്ഛനുമായി വഴക്കിട്ട്
നാടുവിട്ട തിലകത്തിന്
ഇപ്പോൾ വീട്ടുകാരെ
കാണാനുള്ള തോന്നിയിരിക്കും
വെറുപ്പ്‌ ഉരുകട്ടെ
ദ്വിമാന സമവാക്യങ്ങളില്‍
ജ്യാമിതീയ കൂടുതല്‍
തലങ്ങളില്‍ ഉപയോഗിക്കുന്നത്
നല്ലത് ആയിരിക്കുംരണ്ടാം
കൃതിയില്‍ പദത്തിന്റെ
ഗുണോത്തരം ഒന്ന്
അല്ലാത്ത സമവാക്യങ്ങള്‍
നല്കാന്‍ ശ്രമിച്ചാല്‍
നന്നായിരിക്കും കൊഡാക്
സ്കെന്നെർ ബ്ലാക്ക്
ചൊഉംത്ര്യ്നമെൽവില പട്ടിക
പുതിയ സൃഷ്ടിച്ചിരിക്കുന്നു
പുതിയ താളുകളുടെ
പട്ടികയും കാണുക
തത്സമയ സംവാദം
കഴിഞ്ഞ്‌ വര്‍ഷങ്ങള്‍
കഴിഞ്ഞു കാണും
പറഞ്ഞു കേട്ടു
പന്തലിക്കുന്ന വ്യവസായത്തെ
പറ്റി എത്തരം
കോചിംഗ്‌ ക്ലാസുകള്‍ക്ക്‌
ഈടാക്കുന്ന കെട്ടു
ഞെട്ടിത്തരിച്ച്‌ നിന്നതു
പോകുന്നു കുക്കി
പ്രസ്താവന ഉപയോഗിയ്ക്കുമ്പോള്‍
വയ്ക്കുന്നതും നല്ലതാണ്
വെളിച്ചെണ്ണ ഒഴുകിപ്പരന്നു
ബുദ്ധിമുട്ടാകാതിരിയ്ക്കാന്‍ സഹായിക്കും
വൈദ്യുതിയും കാന്തികതയും
തമ്മിലുള്ള ബന്ധം
ആദ്യമായി കണ്ടെത്തിയ
ശാസ്ത്രജ്ഞൻ പീച്ചി
വാഴാനി വന്യജീവി
സങ്കേതം കാലടി
ഓഫീസില്‍ നിന്നും
അസിസ്റ്റന്റ് അഗ്രികള്‍ച്ചറല്‍
ഓഫീസറായി വിരമിച്ച
ശ്രീമതി ടിയാളുടെ
ഭര്‍ത്താവ് ജേക്കബിന്റെ
കിഡ്നി ഓപ്പറേഷന്
ചിലവായ തുകയുടെ
റീഇംപേഴ്സ്മെന്റിനായി സമര്‍പ്പിച്ച
അപേക്ഷയില്‍ നാളിതുവരെ
ലഭിക്കാത്തതിനു കാരണം
വിശദമാക്കാമോ തെരഞ്ഞെടുപ്പ്
സർക്കാർ വിലയിരുത്തലല്ലെന്ന്
ആദിത്യനാഥ്‌ കുരുമുളകുപൊടി
തേനിലോ നെയ്യിലോ
ചാലിച്ചു കഴിക്കുക
രണ്ട് കുപ്പി
വൈനിന് റൊണാള്‍ഡോ
ചെലവാക്കിയത് ലക്ഷം
ഷെഡിങ് ഉണ്ടാവില്ലെന്ന്
വൈദ്യുതി മന്ത്രി
ജസ്റ്റിസ് ദീപക്
മിശ്ര അധ്യക്ഷനായ
അഞ്ചംഗ ഭരണഘടനാ
ബെഞ്ചാണ് പ്രസ്താവിച്ചത്
ജസ്റ്റിസുമാരായ ഖാന്‍വില്‍ക്കര്‍
ഇന്ദു മല്‍ഹോത്ര
നരിമാന്‍ എന്നിവരാണ്
മറ്റ് അംഗങ്ങള്‍
യോജിച്ചുള്ള വിധിയാണെന്ന്
പ്രസ്താവം വായിക്കവേ
ദീപക് മിശ്ര
പറഞ്ഞു കൊല്ലൂര്
പോയിട്ടുണ്ട് കുടജാദ്രിക്ക്
പോകാൻ സമയമായിട്ടില്ലെന്ന്
പറയുന്നു വിപണിയെ
സുസ്ഥിരപ്പെടുത്തുന്നതിന് എണ്ണയുത്പാദനം
കുറക്കുക ആശയത്തോട്
ഖത്വര്‍ വ്യവസായ
മന്ത്രി അബ്ദുല്ല
അതിയ്യ വിയോജിപ്പ്
പ്രകടിപ്പിച്ചിരുന്നു ഉത്പാദനം
കുറച്ചാല്‍ ഒപെകില്‍
ഇല്ലാത്ത രാജ്യങ്ങള്‍ക്കിടയിലെ
ഇല്ലാതാകും ഒപെകുമായി
സഹരിക്കേണ്ടതില്ലെന്ന ധാരണയിലേക്ക്
രാജ്യങ്ങളെ എത്തിക്കാനായിരിക്കും
വെക്കുകയെന്നും അദ്ദേഹം
പറഞ്ഞു ചൈനയുടെ
സാമ്പത്തിക രംഗത്തുണ്ടായ
തണുപ്പാണ് എണ്ണവിലിയിടിവിന്റെ
പ്രധാന കാരണം
ഇന്ത്യക്കൊപ്പം ഉപഭോഗ
രാജ്യമാണ് പക്ഷേ
ചൈനയില്‍ എന്തുകൊണ്ട്
പെട്ടെന്ന് സാമ്പത്തിക
മന്ദീഭാവം ഉണ്ടായി
എന്ന് ചോദിക്കുന്നില്ല
അവസരം കിട്ടാന്‍
കിടക്ക പങ്കിടണോ
ബോളിവുഡിലെ കാസ്റ്റിംഗ്
കൗച്ചിനേക്കുറിച്ച് നായിക
വാര്‍ത്തകളില്‍ നിറയാന്‍
വിഎസ് കണ്ടുപിടിച്ച
പൊടിക്കൈക്ക് നിന്നുകൊടുക്കേണ്ടി
തലമുതിര്‍ന്ന കമ്യൂണിസ്റ്റ്
നേതാവ് കുഞ്ഞനന്തന്‍
നായര്‍ക്ക് പാതിരാത്രി
പോലും സ്വസ്ഥത
കൊടുക്കാതെ സിപിഎമ്മുകാരുടെ
ഭീഷണിയും തെറിയഭിഷേകവും
എന്തായാലും മലയാള
സിനിമകളുടെ നിലവാരം
വല്ലാതെ കുറഞ്ഞുപോയി
എന്നത് സങ്കടകരം
തന്നെസിനിമകളുടെ നിര്‍ണ്ണയിക്കുന്നത്
അതിന്റെ ഉള്ളടക്കം
അല്ലമറ്റു ടെക്നിക്സ്‌
ആണ്നല്ല സിനിമകള്‍ക്ക്‌
ആസ്വാദകര്‍ ഉണ്ടായിരുന്ന
കാലത്തും പൈതൃകം
സിനിമ പരാചയപ്പെട്ടത്‌
തന്നെ ഉദാഹരണം
ഇപ്പോഴത്തെ സംവിധായകര്‍
സിനിമ എടുക്കുന്നത്
