உயிர் அச்சுறுத்தல்
கல்விக்காக அமைக்கப்பட்ட
ஏஞ்சலஸ் லேகர்ஸ்
கிசாவின் பெரிய
அவனது குழந்தைப்
கொள்வதையும் கருப்பொருளாகக்
வளர்சிதை மற்றும்
அரசியல் கூட்டணி
வெற்றிகளுடன் இடத்தில்
நாடகப்படம் நாட்டு
புக்கிட் அசகான்
பெறும்பொழுது பெயர்
உடையதாய் மற்றும்
தூரத்தில் காணப்படும்
கருத்தியல் பூர்வமான
அப்போதைய நேரத்தில்
விளையாட கிரெடிட்
இலக்கிய இதழுக்கும்
இருப்பினும் முதல்தர
கடற்படைத் தாக்குதல்
தெய்வத்தைக் கருதிச்
சமிக்கையைப் பெறுகையில்
மாற்றி குறிப்பான
கோட்பாடுகளைப் பரப்பியவர்களுள்
வட்டப்பாதையில் வரும்
இடில்ஸ் பிரசுரிக்கப்பட்டதற்குப்
பார்க்க வருகிறார்
கிருஷ்ணருடன் இணைந்து
முதல் கவிதை
உடனேயே டிரான்சுயோர்தானைத்
இனங்களை வாழும்
ஓவியங்கள் இன்றும்
வந்ததன் பெண்கள்
கோத்தகிரியை மலபாரில்
பிராங்கோஸ்கோபி பிராங்கோஸ்கோபி
கல்லூரி மாணவர்களுக்கான
இஸ்லாமியரும் இஹ்றாம்
உரோமானிய ஆக்கிரமிப்புக்
திரைப்படம் பவுண்டைனில்
இஹ்றாம் என்னும்
ஐரோப்பா உள்ளிட்ட
மூச்சு விடவைக்க
தோற்றம் பக்கப்
ஆப்கானிஸ்தான் பகுதியிலுள்ள
தலைவன் சங்கின்
அமைந்துள்ள போர்னியா
நூற்றாண்டின் உரைநடை
வழக்கமான அமெரிக்க
உணவைத் தயாரிக்கும்
காரணிகளையும் அடிப்படையாகக்
மலேசிய நடிகருமான
சிறையில் இருந்து
அடையாறு ஆலமரம்
நிகழ்வுகளில் மொத்தத்
எல்லையை நெருங்கியதை
தங்களின் அனைத்து
காம்பியா இந்நாட்டின்
அறிவிப்புடன் இவ்விதழ்
புவியியல் எல்லை
வடிவங்களின் எண்ணிக்கை
சேந்தனை சென்மோ
பாரிய வெற்றி
என்று செல்லமாக
தொழில்நுட்ப மற்றும்
கிராமத்தில் பெரும்பகுதி
மலாக்கா மாநில
முக்கோணம் போன்ற
உபதேசமான அத்வைத
புள்ளிகள் தூண்டப்படுவதுடன்
தொடர்புடைய பிரச்சினைகளை
ராபர்ட்ஸ் திருமண
மற்றும் இரத்த
லிபியாவின் கிழக்குப்
பேசும் மக்கள்
தீயனவென்றும் நன்மையைத்
வாழ்க்கை சண்டையில்
பகுதியில் இராமகிருஷ்ணா
மூன்றாண்டுகள் அப்பதவியில்
கதைகள் குழந்தைத்
நெறிமுறைக்களைக் கொண்ட
மற்றும் நைட்லி
கன்வேயர் பட்டைகள்
நேரிடையாக மக்களால்
மாற்றும் கருவிக்கு
படவெழுத்துக்கள் முற்றுப்பெறாமலோ
தொடங்கியதும் உரிமைகளுக்கான
கோப்பெருஞ்சிங்கன் மன்னனால்
பெட்டிராட்டை நூற்பு
பகுதிகளை ஆட்சி
இந்நகரங்களின் பெயர்
பெருந்தன்மையுடன் அவளிடம்
ஆண்டுகளுக்கும் மேலாக
கடலுக்கடியில் மீத்தேன்
மற்றும் கால்நடைகளை
மணிநேரங்களுக்கு புரிந்தால்
லிக்விட் க்ரிஸ்டல்
சட்டத் தளத்தினுள்
சக்தியுடையது நம்பிக்கையை
வெப்பப் பரிமாற்ற
கிராம் அளவில்
நடிகருமான காலஞ்சென்ற
புதுத் தாராளமயக்
இரண்டு தங்கப்பதக்கங்கள்
சற்று சிறியதாக
என்னும் தலைப்பில்
அரண்மனையை உருவாக்க
கலாசாரமே பெரும்பாலான
அருளால் முளைப்பதும்
காட்சித் தெறிப்புகளுமே
தலைமைக் குருக்களுடனான
நாடுகளின் சட்டங்களின்
போன்ற முக்கிய
அரங்கை பன்னாட்டு
சராசரி வெப்பநிலை
மேலாக தொடர்ந்து
சட்டைகளை பட்டுச்
கடத்திகள் கட்டுப்பாடுகளுக்கு
ஆட்சி புரிந்தபிற்கால
சார்ந்த எஸ்டோனியன்
அணிகள் ஆகியன
அமைப்பு இக்கோபுரத்தின்
ஆவணங்களை மொழிபெயர்த்துக்
என்றும் விபச்சாரம்
அலகான பிரதேசச்
போன்ற பண்புப்பெயர்கள்
நுழைந்து எவ்வாறு
போன்ற அறிகுறிகளைக்
மற்றும் பாப்ருவஹனா
இவைகள் நிலையாக
மாற்றங்களின் விளைவாக
செய்பவர் அறுவைச்
ஆதாரமாக கொண்டு
பாதிப்பைப் பலமுறை
எல்லைகளுடன் ஒத்திருந்தது
கோடைகாலத்தில் சோடியம்
பெண்கள் தேசிய
நிமிடங்களுக்கும் அல்லது
இருந்தக் காலத்தில்
புத்துயிர்ப்பு என்பது
நேரடி மொழிபெயர்ப்பு
தெளிவான உதாரணம்
இடங்களில் வளாகங்களைக்
ஒருவரை நாஜியாக்கும்
விக்கிரம நாராயணன்
கையிருப்பு மூவாயிரம்
திட்டங்கள் ஈஷாவின்
மட்டும் சுமையேற்றும்போது
குஞ்சுகள் பெரிதாகும்
நியூஹேவன் தெருக்களில்
அகன்ற ஓரத்தில்
வெளிநாடுகளிலும் மொழிகளில்
தமிழ் புதுக்கவிதை
பெயரைப் பார்த்தவர்
ஈரான் கோடரியால்
இந்தியன் சிறப்பு
தொகுத்து அளிக்கப்
ஒழிக்க இன்னும்
வேதம் என்னும்
சிவகரியில் மரத்தடியில்
வானொலி கொண்ட
தம்ப் போன்ற
மக்கள் தொகைக்
ஆசியாவில் பயணம்
வர்த்தகத்தைப் போன்று
ஸ்டாட்டின் மருந்துடன்
நீதிக்கட்சி அரசுக்கு
சச்சரவுகள் வெளிவந்தாலும்
எனும் பெயருக்கு
உலகப்போருக்குப்பின் ஓய்வு
கொண்ட நீண்ட
ஊடாகவும் நிலைநாட்டப்படும்
குளிர்ந்த காற்று
ஆற்றின் காரணமாக
மாதத்தில் உள்ளூர்
இந்தியாவிலும் வெளிநாடுகளிலும்
என்பதுடன் உண்மையிலேயே
ஜெனீவா உடன்படிக்கை
இராசா இறுதி
உடற்பருமன் கொழுப்பு
இறந்து விட்டதாக
முதல் மரபணு
செய்த யாகத்தில்
அழிவுக்கும் உதாரணமாக
கணக்கறிஞர்கள் இந்திய
போக்குவரத்து தொடர்புகள்
கோமெய்னியும் அவரது
இளைஞர்கள் இவரின்
குறைந்ததால் திமிங்கில
கல்வெட்டுக்கள் மூலம்
நிர்வாக மற்றும்
வடமொழியில் பிரபந்தங்கள்
நிறைவு பெற்ற
உலோகங்களை உருக்கும்
குளுக்கோனிக் அமிலத்தை
பிரமானந்தா அவர்களால்
அமைந்துள்ளதும் மிதமான
ஒளிவிலகல் குறிப்பான்
ஃபீல்டு மார்ஷல்
இரும்பு தனிமத்தைக்
திருமுருகாற்றுப்படை நூலுக்கு
